,Rowid_,VALUE,COUNT,ISO_AG11_15,GT_DEM,PMEAN_ALL,TMAX8,TMEAN_ALL,DTMEAN8_12,P_N,INT_CNL_EUC,R2
44400,,44401,1,95,363,19,297,96,214,0,4999999,1
44433,,44434,1,95,208,15,317,114,233,0,0,1
44483,,44484,1,187,544,22,302,95,218,0,1043999936,1
44534,,44535,1,70,747,41,279,82,198,0,32000002,1
44559,,44560,1,88,918,62,271,69,198,0,244999984,1
44704,,44705,1,95,362,16,299,101,222,0,0,1
44873,,44874,1,95,426,22,291,92,210,0,4000000,1
45072,,45073,1,57,149,132,238,100,138,0,67999992,1
45091,,45092,1,97,805,35,262,72,199,0,4999999,1
45130,,45131,1,95,145,14,321,117,233,0,13000000,1
45294,,45295,1,97,902,34,276,74,217,0,1000000,1
45322,,45323,1,57,203,140,252,101,141,0,324999968,1
45452,,45453,1,105,636,35,289,88,202,0,289000000,1
45631,,45632,1,187,550,24,302,95,216,0,1658000000,1
45650,,45651,1,105,514,28,299,93,210,0,433000000,1
45784,,45785,1,70,670,41,265,75,196,0,29000002,1
45882,,45883,1,187,551,24,302,95,216,0,1693000064,1
45969,,45970,1,97,941,35,275,72,217,0,0,1
45972,,45973,1,97,943,36,273,71,216,0,1000000,1
45977,,45978,1,100,2216,57,214,14,201,0,1994000000,1
45986,,45987,1,57,245,133,243,98,139,0,32000002,1
46130,,46131,1,70,767,44,275,78,196,0,85000008,1
46170,,46171,1,104,993,37,277,67,216,0,340000032,1
46197,,46198,1,57,192,153,232,96,133,0,197000000,1
46204,,46205,1,57,247,142,241,95,138,0,40999996,1
46398,,46399,1,88,930,70,278,72,202,0,289000000,1
46529,,46530,1,187,524,26,302,96,214,0,1087999872,1
46789,,46790,1,70,732,40,279,82,195,0,40999996,1
46808,,46809,1,104,888,61,270,69,194,0,650000000,1
46837,,46838,1,105,794,36,292,77,219,0,519999968,1
46925,,46926,1,95,146,14,320,119,231,0,13000000,1
47322,,47323,1,97,998,35,277,67,217,0,163999984,1
47363,,47364,1,95,383,28,291,95,205,0,18000000,1
47364,,47365,1,95,322,24,297,98,210,0,4000000,1
47482,,47483,1,70,696,41,279,82,195,0,73000000,1
47684,,47685,1,95,518,32,298,94,205,0,57999996,1
47754,,47755,1,93,1448,48,247,39,210,0,49000000,1
47786,,47787,1,57,162,148,248,97,140,0,85000008,1
47828,,47829,1,105,516,18,286,90,217,0,231999984,1
47883,,47884,1,105,430,20,308,101,222,0,360000000,1
47909,,47910,1,105,485,28,303,97,211,0,260000000,1
48097,,48098,1,95,242,16,308,109,223,0,2000000,1
48106,,48107,1,95,336,17,307,104,221,0,13000000,1
48199,,48200,1,93,1198,47,275,57,210,0,64000000,1
48206,,48207,1,104,958,35,281,69,218,0,324999968,1
48279,,48280,1,95,528,17,290,92,215,0,40000000,1
49058,,49059,1,104,934,62,268,66,194,0,1169999872,1
49169,,49170,1,95,206,15,314,115,226,0,100000000,1
49276,,49277,1,104,814,53,277,76,192,0,794000000,1
49434,,49435,1,95,433,29,305,99,210,0,137000000,1
49684,,49685,1,105,601,36,290,91,196,0,509000032,1
49705,,49706,1,104,806,53,277,76,191,0,698000000,1
50000,,50001,1,95,244,19,306,107,219,0,0,1
50092,,50093,1,187,314,26,311,106,213,0,1010000064,1
50166,,50167,1,97,1010,41,288,68,215,0,1000000,1
50336,,50337,1,95,436,30,306,100,208,0,145000000,1
50430,,50431,1,57,339,138,244,96,140,0,122000008,1
50538,,50539,1,105,338,20,314,109,220,0,436000000,1
51171,,51172,1,95,270,17,307,109,220,0,0,1
51299,,51300,1,52,39,99,267,113,150,0,29000002,1
51346,,51347,1,105,677,24,271,79,209,0,194000016,1
51573,,51574,1,95,302,17,310,109,220,0,16999998,1
51701,,51702,1,93,1508,53,244,35,213,0,146000000,1
51976,,51977,1,95,368,17,306,108,220,0,9000000,1
51983,,51984,1,95,215,15,312,113,218,0,0,1
52068,,52069,1,105,481,31,304,101,206,0,424999968,1
52088,,52089,1,70,754,42,280,84,192,0,296000000,1
52168,,52169,1,52,30,90,268,114,151,0,4000000,1
52173,,52174,1,52,49,94,267,114,150,0,1000000,1
52401,,52402,1,57,248,145,240,96,135,0,162000000,1
52507,,52508,1,95,306,19,307,107,218,0,60999996,1
52556,,52557,1,105,559,37,292,94,195,0,793000000,1
52558,,52559,1,105,650,39,287,90,193,0,593000000,1
52889,,52890,1,57,174,137,257,104,143,0,170000016,1
52914,,52915,1,105,653,30,278,82,204,0,116000008,1
52924,,52925,1,95,311,17,303,105,217,0,49000000,1
53328,,53329,1,57,104,130,258,106,143,0,121000000,1
53331,,53332,1,57,194,146,256,104,143,0,137000000,1
53408,,53409,1,95,271,17,306,110,218,0,0,1
53481,,53482,1,70,799,48,278,80,195,0,13000000,1
53496,,53497,1,104,886,62,276,72,197,0,820000000,1
53609,,53610,1,95,219,15,312,113,217,0,0,1
53619,,53620,1,95,464,18,293,98,211,0,8000000,1
53640,,53641,1,95,119,15,315,119,220,0,13000000,1
53663,,53664,1,105,380,21,307,105,217,0,442000032,1
53728,,53729,1,70,745,42,280,84,193,0,264999984,1
53744,,53745,1,104,853,60,279,75,198,0,725000000,1
53754,,53755,1,93,1095,41,266,51,211,0,13000000,1
53791,,53792,1,93,1246,44,270,53,221,0,104000000,1
53826,,53827,1,104,654,64,267,78,190,0,490000000,1
53869,,53870,1,95,210,15,314,114,216,0,2000000,1
54035,,54036,1,93,1570,49,249,39,214,0,1000000,1
54511,,54512,1,104,1037,75,269,63,200,0,1107999872,1
54517,,54518,1,97,1103,40,268,51,211,0,16000000,1
54632,,54633,1,95,350,17,299,103,209,0,0,1
55062,,55063,1,52,61,101,260,108,144,0,85000008,1
55131,,55132,1,95,131,15,313,118,219,0,1000000,1
55230,,55231,1,104,863,66,276,71,200,0,650000000,1
55342,,55343,1,95,299,17,302,107,209,0,0,1
55378,,55379,1,105,292,21,308,108,217,0,372999968,1
55558,,55559,1,105,755,32,272,79,203,0,424999968,1
55597,,55598,1,95,184,17,310,114,217,0,0,1
55606,,55607,1,95,274,20,310,110,217,0,157000000,1
55692,,55693,1,88,848,58,279,76,198,0,337999968,1
55857,,55858,1,105,279,20,309,110,216,0,250000016,1
56167,,56168,1,187,390,33,307,106,200,0,1233000192,1
56565,,56566,1,104,914,41,260,71,198,0,697000000,1
56575,,56576,1,104,840,32,268,78,206,0,500000000,1
56617,,56618,1,95,222,18,309,113,216,0,1000000,1
56666,,56667,1,187,671,39,288,91,194,0,981000000,1
56891,,56892,1,187,405,34,307,106,202,0,1345000064,1
57022,,57023,1,88,763,88,252,71,186,0,388999968,1
57199,,57200,1,88,857,62,279,74,201,0,289000000,1
57266,,57267,1,57,204,152,253,102,144,0,19999998,1
57377,,57378,1,187,539,35,296,98,204,0,1565000064,1
57598,,57599,1,95,149,16,310,116,215,0,1000000,1
57621,,57622,1,105,368,24,308,108,212,0,903999936,1
57635,,57636,1,187,502,34,301,103,204,0,1625000064,1
57750,,57751,1,93,1292,40,264,47,217,0,74000000,1
57970,,57971,1,88,1004,69,262,59,197,0,260000000,1
58033,,58034,1,52,71,86,265,110,149,0,32000002,1
58187,,58188,1,187,620,38,294,95,195,0,1690000000,1
58245,,58246,1,88,908,62,278,74,200,0,169000000,1
58320,,58321,1,104,745,70,258,74,189,0,601000000,1
58373,,58374,1,95,461,20,291,99,208,0,29000002,1
58681,,58682,1,187,547,38,297,100,198,0,1989000064,1
58725,,58726,1,88,853,51,278,77,196,0,220999984,1
58822,,58823,1,104,724,61,261,75,190,0,909000000,1
58832,,58833,1,104,994,35,259,71,202,0,313000032,1
58839,,58840,1,105,674,23,280,88,205,0,85000008,1
58896,,58897,1,187,548,36,297,100,204,0,1104999936,1
58899,,58900,1,187,668,42,289,92,199,0,1348000128,1
59191,,59192,1,70,752,51,286,84,199,0,10000000,1
59304,,59305,1,104,935,32,266,77,205,0,392000000,1
59526,,59527,1,104,680,58,265,78,190,0,784000000,1
59644,,59645,1,187,546,40,297,100,197,0,1996999936,1
59812,,59813,1,104,909,31,268,79,205,0,424999968,1
59854,,59855,1,95,128,19,313,118,215,0,37000004,1
59909,,59910,1,88,745,45,278,80,195,0,260000000,1
59922,,59923,1,88,859,49,278,79,196,0,212000000,1
59991,,59992,1,93,1358,36,261,45,214,0,1000000,1
60041,,60042,1,187,591,40,279,84,191,0,2026000000,1
60090,,60091,1,95,306,18,301,108,207,0,109000000,1
60172,,60173,1,70,813,45,282,83,197,0,169000000,1
60336,,60337,1,104,998,38,257,71,200,0,1000000064,1
60469,,60470,1,70,448,41,314,108,209,0,13000000,1
60511,,60512,1,93,1220,34,271,53,218,0,146000000,1
60663,,60664,1,105,304,29,308,111,208,0,634000064,1
60737,,60738,1,104,655,72,285,74,206,0,757000000,1
60741,,60742,1,104,1007,80,269,58,203,0,677000064,1
60862,,60863,1,95,268,17,305,111,208,0,169000000,1
60951,,60952,1,105,710,42,284,86,196,0,423999968,1
61193,,61194,1,105,257,25,311,113,210,0,423999968,1
61197,,61198,1,105,391,29,306,109,208,0,562000000,1
61543,,61544,1,88,821,48,282,81,198,0,205000000,1
61617,,61618,1,93,1335,34,266,49,215,0,1000000,1
61686,,61687,1,104,809,30,272,82,204,0,818000000,1
61741,,61742,1,95,273,22,306,111,211,0,81000000,1
61896,,61897,1,93,1719,37,252,42,214,0,200000000,1
61908,,61909,1,52,61,83,271,111,148,0,49000000,1
61917,,61918,1,52,243,86,276,107,169,0,26000000,1
61961,,61962,1,105,303,19,299,108,206,0,332999968,1
61980,,61981,1,95,281,20,300,108,209,0,2000000,1
61987,,61988,1,95,183,21,310,115,212,0,16000000,1
62124,,62125,1,97,1129,31,273,60,221,0,0,1
62132,,62133,1,97,1159,33,273,59,221,0,53000000,1
62167,,62168,1,57,178,136,256,100,136,0,4000000,1
62261,,62262,1,95,158,20,312,117,212,0,4999999,1
62302,,62303,1,105,673,40,290,91,196,0,754000000,1
62542,,62543,1,105,366,29,306,110,207,0,356000032,1
63075,,63076,1,95,204,17,307,114,208,0,231999984,1
63436,,63437,1,104,639,49,289,92,195,0,1090000000,1
63473,,63474,1,95,283,33,320,117,210,0,37000004,1
63499,,63500,1,88,750,63,284,78,203,0,274000000,1
63666,,63667,1,105,159,17,311,117,209,0,264999984,1
63679,,63680,1,95,312,19,299,108,206,0,225000000,1
63907,,63908,1,52,106,90,268,114,150,0,10000000,1
64373,,64374,1,105,481,54,300,93,207,0,116000008,1
64601,,64602,1,105,491,41,301,106,199,0,377000032,1
64681,,64682,1,88,975,71,270,62,202,0,337999968,1
64745,,64746,1,93,1493,36,254,38,209,0,10000000,1
64767,,64768,1,93,1420,36,267,48,217,0,1000000,1
65007,,65008,1,88,1001,77,269,59,201,0,129999992,1
65095,,65096,1,52,50,97,272,109,139,0,1000000,1
65196,,65197,1,95,361,21,298,107,206,0,162000000,1
65210,,65211,1,95,241,24,308,113,209,0,53000000,1
65213,,65214,1,95,301,27,307,111,208,0,40999996,1
65300,,65301,1,88,955,68,275,68,203,0,346000032,1
65304,,65305,1,88,1007,78,269,58,202,0,100000000,1
65684,,65685,1,57,171,132,259,109,143,0,53000000,1
65693,,65694,1,105,232,40,291,104,188,0,500000000,1
65750,,65751,1,95,152,17,314,119,211,0,104000000,1
65947,,65948,1,93,1483,36,262,44,216,0,57999996,1
66124,,66125,1,88,804,58,280,82,194,0,460999968,1
66167,,66168,1,70,545,39,302,101,205,0,4999999,1
66176,,66177,1,88,744,48,287,85,202,0,290000000,1
66191,,66192,1,105,509,53,316,104,211,0,451999968,1
66273,,66274,1,93,1728,38,248,37,215,0,26000000,1
66323,,66324,1,187,580,35,283,88,190,0,1059999936,1
66462,,66463,1,105,608,37,296,96,201,0,149000000,1
66554,,66555,1,93,1518,36,250,35,209,0,10000000,1
66561,,66562,1,93,1328,31,265,47,214,0,1000000,1
66697,,66698,1,95,165,22,313,118,209,0,19999998,1
66775,,66776,1,88,1043,53,268,68,197,0,445000000,1
66928,,66929,1,95,189,18,311,116,209,0,60999996,1
67066,,67067,1,93,1560,37,253,40,209,0,45000004,1
67252,,67253,1,88,824,40,291,90,198,0,274000000,1
67266,,67267,1,70,566,36,304,103,207,0,2000000,1
67277,,67278,1,104,1036,53,268,67,198,0,481000032,1
67358,,67359,1,52,122,122,266,104,137,0,18000000,1
67524,,67525,1,70,652,39,299,98,204,0,8000000,1
67542,,67543,1,104,920,57,276,73,202,0,521999968,1
67680,,67681,1,105,332,21,302,108,209,0,866000064,1
67706,,67707,1,95,340,21,309,116,208,0,137000000,1
67744,,67745,1,88,866,43,284,83,196,0,364999968,1
67873,,67874,1,52,30,86,270,113,149,0,16000000,1
67909,,67910,1,187,235,21,308,113,209,0,1385000064,1
68011,,68012,1,70,687,39,296,95,203,0,2000000,1
68013,,68014,1,70,600,39,298,97,204,0,1000000,1
68036,,68037,1,88,673,59,293,85,206,0,401000000,1
68042,,68043,1,88,972,69,273,65,202,0,81999992,1
68047,,68048,1,88,975,73,271,61,203,0,4999999,1
68066,,68067,1,97,992,27,283,69,222,0,4999999,1
68212,,68213,1,95,302,27,303,108,206,0,4999999,1
68360,,68361,1,93,1828,36,247,33,211,0,4000000,1
68523,,68524,1,88,674,58,286,90,195,0,145000000,1
68546,,68547,1,70,778,41,288,88,200,0,1000000,1
68649,,68650,1,93,1525,34,258,41,216,0,25000000,1
68653,,68654,1,57,153,149,252,102,129,0,4000000,1
68738,,68739,1,95,206,18,314,119,214,0,26000000,1
68929,,68930,1,93,1501,33,260,42,216,0,8000000,1
69021,,69022,1,95,262,19,311,116,214,0,121000000,1
69082,,69083,1,95,336,36,311,116,202,0,0,1
69211,,69212,1,93,1669,36,247,33,208,0,64000000,1
69215,,69216,1,93,1461,31,256,39,211,0,98000000,1
69431,,69432,1,70,926,45,279,78,200,0,4999999,1
69495,,69496,1,97,1027,27,284,70,223,0,19999998,1
69627,,69628,1,187,219,20,308,114,208,0,1520999936,1
69680,,69681,1,95,192,20,308,116,206,0,1000000,1
69714,,69715,1,95,250,30,315,118,204,0,16999998,1
69804,,69805,1,93,1429,34,259,45,212,0,33999996,1
69870,,69871,1,52,48,93,271,115,150,0,85000008,1
69911,,69912,1,187,306,22,302,108,206,0,1601000192,1
69970,,69971,1,105,370,25,299,107,203,0,194000016,1
69979,,69980,1,105,491,30,294,102,201,0,125000000,1
69991,,69992,1,95,193,27,314,117,205,0,2000000,1
70189,,70190,1,105,324,20,307,114,211,0,404000032,1
70212,,70213,1,95,169,18,311,119,207,0,13000000,1
70217,,70218,1,95,170,19,309,118,205,0,18000000,1
70220,,70221,1,95,183,19,308,116,205,0,9000000,1
70223,,70224,1,95,157,19,309,117,205,0,0,1
70373,,70374,1,93,1222,27,264,46,213,0,19999998,1
70408,,70409,1,52,30,83,276,112,146,0,8000000,1
70452,,70453,1,105,384,25,295,98,193,0,565000000,1
70522,,70523,1,105,412,24,301,109,203,0,205000000,1
70576,,70577,1,88,1155,52,262,62,196,0,257000000,1
70769,,70770,1,95,199,18,312,118,207,0,45000004,1
70882,,70883,1,88,975,68,277,68,203,0,96999992,1
70931,,70932,1,93,1427,31,256,39,211,0,8000000,1
71054,,71055,1,95,193,18,311,118,207,0,49000000,1
71078,,71079,1,95,316,23,302,111,203,0,101000008,1
71216,,71217,1,93,1707,37,242,31,212,0,4999999,1
71313,,71314,1,95,244,19,314,119,213,0,109000000,1
71329,,71330,1,95,196,19,311,118,205,0,65000000,1
71350,,71351,1,95,193,20,306,115,204,0,1000000,1
71460,,71461,1,93,1623,39,243,31,204,0,180000016,1
71520,,71521,1,52,61,97,269,115,149,0,40000000,1
71664,,71665,1,88,1093,47,268,65,196,0,2000000,1
71676,,71677,1,88,1333,49,261,60,195,0,52000000,1
71752,,71753,1,57,243,163,257,99,135,0,9000000,1
71778,,71779,1,57,240,136,256,105,143,0,25000000,1
71909,,71910,1,88,867,64,266,69,191,0,200000000,1
72140,,72141,1,95,175,20,307,116,204,0,0,1
72211,,72212,1,88,1231,52,257,56,195,0,274000000,1
72479,,72480,1,88,1221,52,258,57,195,0,319999968,1
72490,,72491,1,104,918,52,275,74,201,0,954000000,1
72491,,72492,1,104,914,53,275,73,201,0,901000000,1
72641,,72642,1,187,494,24,284,96,193,0,1445000064,1
72725,,72726,1,70,607,37,292,97,198,0,145000000,1
72733,,72734,1,70,470,40,305,109,200,0,16000000,1
72837,,72838,1,93,1388,32,262,48,211,0,16000000,1
72863,,72864,1,93,1636,33,254,40,219,0,1000000,1
73096,,73097,1,93,1474,34,257,43,210,0,36000000,1
73126,,73127,1,93,1652,33,253,40,219,0,1000000,1
73201,,73202,1,95,262,20,309,116,208,0,50000000,1
73332,,73333,1,106,880,53,290,71,211,0,1730000128,1
73371,,73372,1,93,1243,24,266,48,214,0,0,1
73585,,73586,1,95,500,33,311,108,208,0,128000008,1
73717,,73718,1,70,832,41,266,78,188,0,229000000,1
73734,,73735,1,187,490,23,291,102,201,0,1681999872,1
73742,,73743,1,105,307,20,305,113,209,0,442000032,1
74032,,74033,1,95,279,20,307,115,204,0,85000008,1
74078,,74079,1,105,555,35,298,101,199,0,243999984,1
74169,,74170,1,93,1684,33,248,35,204,0,18000000,1
74202,,74203,1,57,173,127,272,104,143,0,4999999,1
74333,,74334,1,105,571,38,297,100,199,0,162000000,1
74675,,74676,1,105,517,31,323,118,212,0,208000000,1
74900,,74901,1,105,431,27,300,106,202,0,386000000,1
75107,,75108,1,95,339,20,307,114,206,0,117000008,1
75153,,75154,1,105,486,30,298,104,201,0,500000000,1
75174,,75175,1,70,641,46,296,100,196,0,65000000,1
75335,,75336,1,70,723,43,275,84,187,0,57999996,1
75480,,75481,1,104,956,63,282,71,205,0,680000064,1
75545,,75546,1,57,187,143,267,102,142,0,4999999,1
75702,,75703,1,104,951,40,291,84,200,0,451999968,1
75709,,75710,1,105,685,37,295,91,204,0,197000000,1
75864,,75865,1,70,788,47,269,80,185,0,65000000,1
75869,,75870,1,105,671,33,279,86,190,0,260000000,1
75907,,75908,1,95,368,21,303,111,203,0,129999992,1
76093,,76094,1,93,1623,29,255,40,219,0,10000000,1
76202,,76203,1,95,403,23,298,108,196,0,117000008,1
76255,,76256,1,88,934,59,273,77,192,0,152999984,1
76312,,76313,1,104,867,61,287,76,204,0,850000000,1
76692,,76693,1,52,61,88,272,113,145,0,64000000,1
76789,,76790,1,95,278,22,311,117,202,0,13000000,1
76798,,76799,1,105,457,28,302,107,200,0,488000032,1
76824,,76825,1,104,1085,57,271,63,195,0,997000000,1
76973,,76974,1,52,238,118,260,106,145,0,101000008,1
77114,,77115,1,105,597,35,305,100,207,0,557000000,1
77270,,77271,1,187,738,26,277,89,195,0,1453000064,1
77481,,77482,1,93,1683,30,253,39,207,0,4999999,1
77500,,77501,1,93,1674,31,256,44,223,0,1000000,1
77522,,77523,1,57,226,125,259,104,144,0,96999992,1
77780,,77781,1,52,85,90,275,111,144,0,0,1
77822,,77823,1,187,629,25,284,96,197,0,1937000064,1
77829,,77830,1,187,396,20,307,115,205,0,1217000064,1
77868,,77869,1,95,431,25,299,107,195,0,105999992,1
77872,,77873,1,95,429,25,299,106,196,0,72000000,1
77897,,77898,1,105,545,37,303,103,199,0,605000000,1
78108,,78109,1,187,560,23,290,101,198,0,962000000,1
78163,,78164,1,105,357,26,307,112,200,0,372999968,1
78225,,78226,1,105,746,50,294,90,204,0,562000000,1
78505,,78506,1,104,976,47,278,77,200,0,820000000,1
78592,,78593,1,93,1771,35,243,34,219,0,25000000,1
78610,,78611,1,52,79,99,278,110,145,0,85000008,1
78705,,78706,1,105,547,26,292,102,190,0,200000000,1
78714,,78715,1,95,494,24,299,108,193,0,19999998,1
78755,,78756,1,88,753,53,289,90,193,0,457000000,1
78899,,78900,1,65,549,44,290,94,184,0,1000000,1
78909,,78910,1,95,435,27,296,97,192,0,67999992,1
79017,,79018,1,104,1015,60,275,76,191,0,584000000,1
79067,,79068,1,104,855,49,283,81,201,0,519999968,1
79143,,79144,1,93,1714,32,253,42,223,0,53000000,1
79161,,79162,1,52,61,90,278,113,143,0,13000000,1
79188,,79189,1,95,337,24,311,112,193,0,16999998,1
79283,,79284,1,105,488,41,301,100,197,0,698000000,1
79302,,79303,1,104,1042,60,270,65,194,0,577000000,1
79338,,79339,1,104,1011,47,275,75,200,0,626000000,1
79486,,79487,1,187,708,25,279,90,195,0,1459999872,1
79716,,79717,1,93,1780,32,245,34,220,0,9000000,1
79756,,79757,1,57,243,124,261,105,143,0,4999999,1
79783,,79784,1,105,693,26,284,92,194,0,554000000,1
79969,,79970,1,85,2462,49,211,-1,198,0,125000000,1
80162,,80163,1,105,604,30,293,97,192,0,220999984,1
80361,,80362,1,65,640,48,285,91,183,0,1000000,1
80766,,80767,1,104,773,51,282,85,192,0,883999936,1
80838,,80839,1,93,1359,31,270,57,209,0,16000000,1
80866,,80867,1,85,2450,39,222,14,206,0,40999996,1
80972,,80973,1,105,606,25,289,99,191,0,201999984,1
81052,,81053,1,88,1171,50,264,52,198,0,305000032,1
81144,,81145,1,85,2189,41,219,14,210,0,25000000,1
81147,,81148,1,57,135,152,252,107,129,0,135999984,1
81211,,81212,1,187,344,22,292,101,196,0,1453000064,1
81231,,81232,1,105,590,24,291,101,192,0,264999984,1
81256,,81257,1,70,782,31,281,88,187,0,57999996,1
81269,,81270,1,70,667,32,292,94,191,0,163999984,1
81477,,81478,1,105,748,26,283,90,197,0,650000000,1
81481,,81482,1,187,793,26,280,88,197,0,1180999936,1
81592,,81593,1,104,916,40,287,83,204,0,1096000000,1
81881,,81882,1,93,1669,37,252,37,205,0,74000000,1
82005,,82006,1,187,405,22,295,102,198,0,1229000064,1
82157,,82158,1,100,2073,50,231,14,202,0,1780999936,1
82177,,82178,1,85,2236,42,215,4,200,0,53000000,1
82362,,82363,1,70,700,34,302,101,194,0,205000000,1
82471,,82472,1,93,1699,29,253,40,222,0,0,1
82610,,82611,1,70,604,31,298,98,191,0,33999996,1
82749,,82750,1,85,2252,43,214,10,209,0,180000016,1
82772,,82773,1,52,60,90,276,113,140,0,25000000,1
82799,,82800,1,70,562,36,293,95,186,0,25000000,1
82850,,82851,1,105,712,26,284,94,187,0,404999968,1
83046,,83047,1,70,638,37,290,92,186,0,33999996,1
83085,,83086,1,187,836,29,273,85,185,0,1250000000,1
83261,,83262,1,93,1531,25,259,44,221,0,4000000,1
83331,,83332,1,70,752,30,286,89,192,0,225000000,1
83578,,83579,1,52,85,91,275,113,140,0,1000000,1
83593,,83594,1,57,295,137,260,104,141,0,13000000,1
83683,,83684,1,70,804,34,283,84,189,0,257000000,1
83796,,83797,1,85,2428,42,214,3,200,0,19999998,1
83973,,83974,1,70,550,30,306,103,193,0,1000000,1
84065,,84066,1,85,2490,43,209,-1,199,0,16999998,1
84150,,84151,1,70,810,34,281,86,189,0,250000016,1
84527,,84528,1,88,1039,44,281,66,200,0,10000000,1
84656,,84657,1,70,723,33,287,90,188,0,244999984,1
84777,,84778,1,70,822,50,297,84,197,0,26000000,1
84845,,84846,1,92,1214,30,281,70,208,0,1000000,1
84971,,84972,1,105,813,29,279,87,185,0,772000064,1
85025,,85026,1,70,996,43,277,78,190,0,85000008,1
85046,,85047,1,88,1070,51,277,65,195,0,18000000,1
85409,,85410,1,93,1548,25,260,46,219,0,0,1
85540,,85541,1,70,911,34,276,78,186,0,388999968,1
85695,,85696,1,105,410,22,318,114,194,0,271999968,1
85723,,85724,1,105,590,21,302,107,195,0,490000000,1
85821,,85822,1,70,1030,49,288,77,195,0,8000000,1
85888,,85889,1,93,1557,37,258,42,208,0,137000000,1
85919,,85920,1,93,1505,24,263,48,222,0,0,1
86142,,86143,1,90,1739,38,252,34,207,0,146000000,1
86182,,86183,1,52,99,95,271,110,144,0,19999998,1
86255,,86256,1,105,772,27,285,92,184,0,529999968,1
86860,,86861,1,104,1157,41,276,67,204,0,905000064,1
87000,,87001,1,70,817,29,281,87,181,0,436000000,1
87047,,87048,1,104,1033,38,271,69,188,0,584000000,1
87086,,87087,1,88,1225,47,272,60,197,0,60999996,1
87202,,87203,1,52,67,90,274,113,138,0,72000000,1
87334,,87335,1,70,1014,48,276,66,196,0,16000000,1
87357,,87358,1,93,1399,44,254,43,199,0,173000000,1
87422,,87423,1,93,1480,24,266,51,223,0,0,1
87534,,87535,1,88,1145,39,265,64,186,0,404999968,1
87650,,87651,1,85,2243,37,221,11,206,0,10000000,1
87839,,87840,1,93,1219,39,269,55,202,0,49000000,1
88300,,88301,1,88,1266,49,250,52,187,0,260999984,1
88422,,88423,1,90,2076,33,237,27,218,0,129999992,1
88477,,88478,1,70,549,29,307,101,188,0,8000000,1
88507,,88508,1,70,964,34,272,77,188,0,125000000,1
88562,,88563,1,70,907,45,287,78,194,0,32000002,1
88583,,88584,1,93,1343,41,260,47,201,0,100000000,1
88619,,88620,1,85,2301,45,220,6,202,0,26000000,1
88624,,88625,1,93,1296,32,277,60,210,0,4000000,1
88645,,88646,1,85,2533,43,203,-6,200,0,53000000,1
88672,,88673,1,90,2040,32,238,29,220,0,200000000,1
88736,,88737,1,70,876,33,280,83,188,0,40999996,1
88829,,88830,1,93,1158,37,271,56,202,0,16000000,1
88982,,88983,1,70,972,33,279,83,188,0,109000000,1
89006,,89007,1,70,926,31,278,82,185,0,100000000,1
89567,,89568,1,85,2368,46,215,0,202,0,169000000,1
89638,,89639,1,52,125,96,273,113,139,0,4999999,1
89657,,89658,1,70,668,29,298,94,185,0,2000000,1
89670,,89671,1,70,811,32,282,84,187,0,16000000,1
89702,,89703,1,70,917,34,269,74,180,0,105999992,1
89744,,89745,1,93,1290,40,262,49,202,0,45000004,1
89777,,89778,1,93,1688,37,256,37,209,0,52000000,1
89825,,89826,1,52,194,114,260,103,142,0,25000000,1
90065,,90066,1,70,538,25,310,103,189,0,18000000,1
90095,,90096,1,89,1163,38,262,66,182,0,170000016,1
90110,,90111,1,89,1159,37,261,66,181,0,149000000,1
90151,,90152,1,93,1460,48,244,35,197,0,4000000,1
90356,,90357,1,97,1125,35,275,61,203,0,1000000,1
90405,,90406,1,85,2372,44,220,5,203,0,181000000,1
90550,,90551,1,70,976,45,284,83,191,0,197000000,1
90716,,90717,1,70,451,22,318,108,192,0,25000000,1
90746,,90747,1,89,1143,36,267,71,181,0,79999992,1
90905,,90906,1,52,84,91,275,113,145,0,13000000,1
90952,,90953,1,70,1121,40,262,66,183,0,122000008,1
91179,,91180,1,89,1185,38,260,64,181,0,19999998,1
91451,,91452,1,70,823,37,296,88,196,0,1000000,1
91571,,91572,1,57,243,119,267,106,138,0,160000000,1
91595,,91596,1,70,601,23,311,103,191,0,4999999,1
91891,,91892,1,88,1301,45,259,46,205,0,250000016,1
91912,,91913,1,100,2282,65,204,-6,192,0,1157000064,1
91918,,91919,1,100,2086,63,218,4,197,0,1699999872,1
92020,,92021,1,70,732,25,301,96,189,0,8000000,1
92033,,92034,1,70,1138,36,268,71,183,0,292000000,1
92208,,92209,1,70,786,39,285,85,178,0,64000000,1
92214,,92215,1,70,672,27,298,93,183,0,0,1
92357,,92358,1,90,2085,30,238,29,216,0,40999996,1
92436,,92437,1,70,1105,35,272,74,183,0,125000000,1
92587,,92588,1,52,91,96,272,112,146,0,1000000,1
92591,,92592,1,52,89,93,275,114,145,0,16999998,1
92679,,92680,1,89,1161,39,258,60,180,0,52000000,1
92804,,92805,1,70,912,53,270,75,174,0,185000000,1
92951,,92952,1,85,2289,36,218,10,211,0,98000000,1
93249,,93250,1,70,707,25,297,92,183,0,0,1
93370,,93371,1,85,2166,37,243,23,210,0,231999984,1
93639,,93640,1,57,376,146,261,99,139,0,52000000,1
93776,,93777,1,85,2197,37,222,5,207,0,290000000,1
93787,,93788,1,90,1783,27,250,38,227,0,16000000,1
